source,cos_sim,target,level
"На фоне политических событий и процессов, экономических преобразований, происходящих в России с 90-х гг. ХХ в., «деревенская проблема» в литературе и искусстве не потеряла своей актуальности и по-прежнему остаётся одной из многих проблем современной российской жизни и культуры.",0.02739984966850347,в работе,B_to_A
"Очень часто 9 Мая бывает одним из первых тёплых весенних (см. весна) дней, и поэтому многие в этот день выходят просто погулять по празднично украшенным улицам, идут в гости к ветеранам войны, выезжают за город, на дачу.",0.8020101861785526,"
Очень часто 9 Мая бывает одним из первых тёплых весенних (см. весна) дней, и поэтому многие в этот день выходят просто гулять по праздничным улицам, идут в гости, едут за город.",B_to_A
"Политическая окраска праздника 8 Марта сохранялась и в советский (см. Советский Союз) период, но для народа всегда было важно его лирическое, бытовое содержание. Праздник отмечают и на работе, и дома. Мужчины в трудовых коллективах обязательно тепло поздравляют женщин, дарят им цветы, небольшие подарки. В школах (см. школа) и детских садах (см. детский сад) поздравляют учительниц, воспитательниц и девочек.",0.6425965104050382,"
8 Марта отмечают и  дома, и на работе: мужчины тепло поздравляют женщин, дарят им цветы и подарки. В школах (см. школа) и детских садах (см. детский сад) дети поздравляют учительниц и воспитательниц, мальчики поздравляют  девочек.",B_to_A
"В современной речи выражение явление Христа народу иногда употребляется иронически, когда говорят о неожиданном приходе или приезде кого-либо.",0.8608689475907682,"В современной речи выражение явление Христа народу употребляется иронически, когда говорят о неожиданном появлении кого-либо.
",B_to_A
"По плану Наполеона Русская армия должна была быть разбита в одном из приграничных сражений и Россия потерять свое влияние в Европе, превратившись в вассала Франции. Но Русские войска не приняли пограничного сражения и начали отступление в глубь страны. После двух месяцев оборонительных боёв император Александр I назначил главнокомандующим опытного, известного армии и всему народу боевого генерала М.И. Кутузова. Оказавшись в чрезвычайно тяжелом положении – враг приближался к Москве, в то время второй столице государства, – Кутузов принял решение дать сражение на Бородинском поле (см. Бородино) в 124 км от Москвы. В результате битвы 26 августа 1812 г. французская армия понесла большие потери, был сорван наполеоновский план разгрома русской армии в генеральном сражении. Потери были велики и в Русской армии. Поэтому ради ее сохранения 1 сентября 1812 г. на военном совете в подмосковной деревне Фили Кутузов принял решение оставить Москву.",0.3652338975629324,"1 сентября на военном совете в деревне Фили Кутузов принял решение оставить Москву, чтобы сохранить армию.",B_to_A
"Театр открылся 14 октября 1898 г. спектаклем по пьесе А.К. Толстого «Царь Фёдор Иоаннович», которая еще ни разу не ставилась и была новой для зрителей. Но настоящее рождение МХТ связано с постановкой пьес А.П. Чехова «Чайка» (1898 г.), «Дядя Ваня» (1899 г.), «Три сестры» (1901 г.) и «Вишнёвый сад» (1904 г.), которые драматург написал специально для нового театра. Спектакль по пьесе Чехова «Чайка» стал легендой МХТ, а чайка на занавесе театра (по рисунку архитектора Ф.О. Шехтеля) – его эмблемой.",0.3903039810002973,"
Признание и любовь публики театр получил после постановки пьес А. П. Чехова «Чайка», «Дядя Ваня», «Три сестры» и «Вишнёвый сад». С 1902 года чайка стала эмблемой театра.",B_to_A
" Я от дедушки ушёл,
 Я от бабушки ушёл,
 От тебя, зайца, подавно уйду!",0.994837473010645,"
 Я от дедушки ушёл,
 Я от бабушки ушёл,
 От тебя, зайца, подавно уйду!",B_to_A
"Тёплые варежки − обязательная деталь традиционной русской верхней одежды. Их носят зимой. В наше время, в основном, − дети. Взрослые носят варежки только в сильный мороз, так как в них пальцам теплее, чем в перчатках. Особенно теплы варежки, сшитые из меха (мехом внутрь).",0.3767879771003152,Варежки − деталь традиционной русской зимней одежды.,B_to_A
"Фёдор Михайлович Достоевский родился в 1821 г. в Москве в семье дворянина, врача больницы для бедных. Окончил Главное военно−инженерное училище в Петербурге, но решил посвятить себя литературе.",0.15117698603772828,"
Памятники Достоевскому стоят в Москве и Петербурге, в сибирских городах – Омске и Тобольске, в Германии и др. ",B_to_A
"Именно так, московский дворик, называют ещё сохранившиеся в старом центре Москвы небольшие, уютные дворики.",0.991741917541645,"Именно так, московский дворик, называют ещё сохранившиеся в старом центре Москвы небольшие, уютные дворики.
",B_to_A
