source,cos_sim,target,level
"Московский Художественно-Общедоступный театр создан в 1898 г. К.С. Станиславским и В.И. Немировичем-Данченко. В 1901 г. из названия было убрано слово общедоступный, хотя ориентация на демократического зрителя оставалась одним из главных творческих принципов нового театра. В 1901-1919 гг. назывался Московский Художественный театр (МХТ). В 1919 г. театру за достижения в развитии театрального искусства было присвоено почётное звание академический и он стал называться – Московский Художественный академический театр (МХАТ). В 1932 г. театру было присвоено имя Максима Горького, и его официальное название стало Московский Художественный академический театр имени М. Горького.",0.3766138932479308,"
В первые годы ХХ в. театр активно сотрудничал и с М. Горьким. С в 1932 г. театр стал называться МХАТ (мхат) – Московский Художественный академический театр им. М. Горького.",C_to_A
"Читатель встречается с Онегиным, когда тому уже «наскучил жизни шум», ни чтение, ни сочинительство его тоже не увлекали – «как женщин, он оставил книги». Устав от светской жизни и получив в наследство поместье, Евгений переезжает в деревню, вначале радуясь переменам в жизни, но вскоре снова заскучав. Там он встречает Татьяну Ларину, любовь которой не находит ответа в его сердце; пытается подружиться с поэтом-романтиком Владимиром Ленским, но вскоре убивает его на дуэли после нелепой ссоры. В состоянии глубокого душевного кризиса и пытаясь ещё раз изменить свою жизнь, найти в ней интерес, Онегин отправляется в путешествие по России. Но ничего, кроме тоски, невозможности реализовать себя в общественной жизни, Онегин из путешествия не привозит. Через три года он возвращается в Петербург и, сразу же попав на бал, встречает Татьяну, уже светскую даму, жену генерала. В душе героя вспыхивает любовь, которую теперь отвергает Татьяна, покорившись судьбе, но любя по-прежнему только Евгения.",0.276000085360106,"
В деревне Онегин также знакомится с поэтом-романтиком Владимиром Ленским. После глупой ссоры он убивает Ленского на дуэли.",C_to_A
"Эрмитаж находится в Петербурге в Зимнем дворце и соседних с ним четырёх связанных друг с другом зданиях на Дворцовой набережной реки Невы: Малый Эрмитаж (1764-1767 гг., архитектор Ж.Б.М. Валлен-Деламот), Старый Эрмитаж (1771-1787 гг., архитектор Ю.М. Фельтен), Эрмитажный театр (1783-1787 гг., архитектор Дж. Кваренги) и Новый Эрмитаж (1839-1852 гг., архитектор Л. фон Кленце). В состав музея передан дворец А.Д. Меншикова на Васильевском острове, а также помещения в здании Главного штаба на Дворцовой площади. Планируется, что всё здание Главного штаба будет в ближайшие годы передано музею.",0.3570336070340462,"Эрмитаж находится в Петербурге в Зимнем дворце и в соседних зданиях. Они называются: Малый Эрмитаж, Старый Эрмитаж, Эрмитажный театр и Новый Эрмитаж.",C_to_A
"Написана в 1905 г., спустя два года после публикации в декабре 1903 г. в новогоднем номере журнала «Малютка» стихотворения «Ёлочка», подписанного псевдонимом Кудашевой «А.Э.». Обычно исполняется в хороводе вокруг  новогодней ёлки. В песне поется о маленькой красивой ёлочке, которая из лесу пришла на праздник к  детям:",0.5007557283142088,"В песне поется о маленькой красивой ёлочке, которая из лесу пришла на праздник к  детям:",C_to_A
"Перелом в ходе военных действий начался в 1942 году после поражения фашистских войск под Москвой (см. Битва за Москву). Коренным переломом считается Сталинградская битва 1942-1943 гг. Вслед за ней последовали прорыв блокады Ленинграда, Курская битва и другие крупномасштабные военные операции, в результате которых началось освобождение страны от захватчиков. Этому способствовало и открытие союзниками СССР (США и Великобританией) в июне 1944 года второго фронта на Севере Франции. Встреча Красной Армии с армией США произошла в апреле 1945 г. на  реке Эльбе на подступах к Берлину. ",0.27072248551198824,"
В начале 1943 г. фашистские войска потерпели поражение в Сталинградской битве (Битва на Волге); летом 1943 г. – в Курской битве.",C_to_A
"В сказочных сюжетах Иван-царевич обязательно проходит через ряд испытаний, совершает подвиги, рискует жизнью прежде, чем достигает желанной цели и счастья. Иногда Иван-царевич ошибается, совершает неправильные поступки, но всегда исправляет свои ошибки и искупает вину. В трудную минуту на помощь Ивану-царевичу приходят животные, которых он когда-то спас или пожалел. В начале сказки Иван-царевич бывает печален и даже несчастлив, но в конце – обязательно победит зло и женится на прекрасной царевне.",0.27793604980357317,"
В начале сказки Иван-царевич попадает в трудные ситуации и часто не знает, что делать.",C_to_A
"В конце 1840-х гг. писатель сблизился с кружком М.В. Петрашевского, в котором обсуждались политические, экономические и философские проблемы утопического социализма. На одном из заседаний кружка читали запрещённое в России письмо В.Г. Белинского к Н.В. Гоголю. Вскоре все члены кружка − петрашевцы − были арестованы. Основанием для ареста стало распространение идей социализма в России и чтение письма Белинского. Петрашевцы были приговорены к смертной казни. Когда они стояли на эшафоте, был прочитан указ о помиловании и замене смертной казни ссылкой в Сибирь на 4 года. Достоевский был приговорён к каторге, а потом к службе рядовым.",0.31769776272209727,"
В конце 1840-х гг. Достоевский входит в политический кружок М.В. Петрашевского. 
Вместе с другими членами кружка осужден и отправлен в Сибирь. Годы жизни на каторге Достоевский описал в книге «Записки из мёртвого дома».",C_to_A
"Холодным борщом (холодником, свекольником) называют суп, приготовленный на охлажденном свекольном отваре или кефире вместо мясного бульона. В него добавляют варёные свеклу, картофель и яйца, а также огурцы и свежую зелень (укроп, лук, петрушку), а при подаче на стол – сметану. Зелёным борщом называют суп со щавелем.",0.48107582826375256,"Холодным борщом называют суп на холодном свекольном  бульоне  или кефире с варёными овощами (свёкла, картофель), свежим огурцом,  зеленью и сметаной.
",C_to_A
"Выражение девятый вал означает что-то роковое, угрожающее опасностью, с чем невозможно бороться. Девятым валом называют кульминацию какого-либо процесса.",0.8348694201384679,"Выражение девятый вал означает что-то очень опасное, с чем невозможно бороться. Девятым валом называют кульминацию какого−либо процесса.
",C_to_A
Образ Петербурга – одна из основных тем русского искусства и литературы. Начатая строками А. С. Пушкина в поэме «Медный всадник»:,0.3761149269338499,"
Петербург – одна из основных тем русского искусства и литературы. О городе писал А.С. Пушкин в поэме «Медный всадник», Н.В. Гоголь в повести «Невский проспект»,  Ф.М. Достоевский в романах «Белые ночи» и «Преступление и наказание». Городу посвящали свои стихи А.А. Ахматова, О.Э. Мандельштам, И.А. Бродский.",C_to_A
