source,cos_sim,target,level
"Кавказ – курортный район, центр туризма и альпинизма. Одно из самых популярных мест отдыха на Кавказе – курортная зона Большого Сочи, близкая по своим природно-климатическим условиям средиземноморской. Широко известны и курортные комплексы Домбай в Карачаево-Черкессии, Приэльбрусье и Долина Нарзанов в Кабардино-Балкарии.",0.9596254812944144,"Кавказ – курортный район, центр туризма и альпинизма. Одно из самых популярных мест отдыха на Кавказе – курортная зона Большого Сочи, близкая по своим природно-климатическим условиям средиземноморской. Широко известны и курортные комплексы Домбай в Карачаево-Черкессии, Приэльбрусье и Долина Нарзанов в Кабардино-Балкарии.",C_to_B
"Прилагательное советский, имеет два значения: «относящийся к советам» (советская власть) и «относящийся к Советскому Союзу» (советский флаг, советский гимн, советские люди, советское искусство и литература).",1.0000000000000007,"Прилагательное советский, имеет два значения: «относящийся к советам» (советская власть) и «относящийся к Советскому Союзу» (советский флаг, советский гимн, советские люди, советское искусство и литература).",C_to_B
Высшими наградами страны были звания:  Герой Советского Союза и Герой Социалистического Труда. ,1.0000000000000007,Высшими наградами страны были звания:  Герой Советского Союза и Герой Социалистического Труда. ,C_to_B
"Обращение к русскому человеку по фамилии принято: а) в официальных ситуациях в сочетании со словами господин/госпожа или товарищ (господин Васильев, товарищ Иванова, товарищ Смирнов); б) в армии и военных учебных заведениях с обязательным прибавлением звания (полковник Сомов, рядовой Орлов); в) в правоохранительных органах с обязательным указанием на статус лица (свидетель Назаров, ответчик /истец Ананьев); г) иногда в гражданских учебных заведениях при обращении старших к младшим, преподавателя к ученику. В иных случаях обращение к человеку только по фамилии означает высокую степень официальности и холодности общения.",0.9999999999999996,"Обращение к русскому человеку по фамилии принято: а) в официальных ситуациях в сочетании со словами господин/госпожа или товарищ (господин Васильев, товарищ Иванова, товарищ Смирнов); б) в армии и военных учебных заведениях с обязательным прибавлением звания (полковник Сомов, рядовой Орлов); в) в правоохранительных органах с обязательным указанием на статус лица (свидетель Назаров, ответчик /истец Ананьев); г) иногда в гражданских учебных заведениях при обращении старших к младшим, преподавателя к ученику. В иных случаях обращение к человеку только по фамилии означает высокую степень официальности и холодности общения.",C_to_B
"Город вошёл в историю русской культуры и как родина знаменитого персонажа сказа Н.С. Лескова – Левши, тульского мастера, подковавшего механическую блоху.",0.9454992187782543,"Город вошёл в историю русской культуры и как родина знаменитого персонажа сказа Н.С. Лескова – Левши, тульского мастера, подковавшего механическую блоху.",C_to_B
"Осенью 1856 г. Толстой вышел в отставку и отправился в заграничное путешествие во Францию, Швейцарию, Италию, Германию. Вернувшись в Россию, открыл школу для крестьянских (см. крестьянин) детей в Ясной Поляне, а затем – более 20 школ в окрестных деревнях (см. деревня). Педагогика стала вторым призванием Толстого: он создавал учебники для школ, писал педагогические статьи.",0.9730522886956889,"Осенью 1856 г. Толстой вышел в отставку и отправился в заграничное путешествие во Францию, Швейцарию, Италию, Германию. Вернувшись в Россию, открыл школу для крестьянских (см. крестьянин) детей в Ясной Поляне, а затем – ещё более 20 школ в соседних деревнях (см. деревня). Педагогика стала вторым призванием Толстого: он создавал учебники для школ, писал педагогические статьи.",C_to_B
"Малый театр регулярно обращается и к зарубежной классике: на его сцене идут спектакли по произведениям Ж.Б. Мольера, Э. Золя, Э. Скриба, Ж. Кокто и др.",0.8943479292859807,"Малый театр регулярно обращается и к зарубежной классике: на его сцене идут спектакли по произведениям Ж Б. Мольера, Э. Золя, Э. Скриба, Ж. Кокто и др.",C_to_B
В следующие десятилетия в состав СССР вошли остальные республики. ,1.0,В следующие десятилетия в состав СССР вошли остальные республики. ,C_to_B
"В переносном смысле баранкой называют разные предметы кольцеобразной формы, чаще других – автомобильный руль. Отсюда выражения сесть за баранку, крутить баранку. Баранкой в разговорной речи могут назвать цифру «0». О спортсменах или команде, набравших в соревнованиях 0 очков, могут сказать, что они получили баранку.",0.8582447972710063,"В переносном смысле баранкой называют разные предметы, имеющие форму кольца, например, автомобильный руль. Отсюда выражения сесть за баранку, крутить баранку. Баранкой в разговорной речи могут назвать цифру «0». О спортсменах или команде,  получивших в соревнованиях  0 очков, могут сказать, что они получили баранку.
",C_to_B
"В советский период (до 1954 г.)   Сталин изображался на картинах, плакатах, поздравительных открытках и пр., часто вместе с Лениным;  по всей стране  ему ставились памятники. Наиболее известные портреты Сталина  принадлежат художнику А.М. Герасимову: «Портрет И.В. Сталина на ХVII съезде ВКП(б)» (1934 г.); «Портрет Сталина и Ворошилова в Кремле» (1938 г.). ",0.557381293066804,"В советский период (до 1954 г.) Сталина изображали на картинах, плакатах, поздравительных открытках и пр., часто вместе с Лениным; по всей стране ему ставили памятники.",C_to_B
