source,cos_sim,target,level
В 1827 г. вместе с семьёй переехал в Москву. ,0.9999999999999997,В 1827 г. вместе с семьёй переехал в Москву. ,C_to_B
Снегурочка появляется только перед Новым годом. ,0.9999999999999998,Снегурочка появляется только перед Новым годом. ,C_to_B
"В центре находится икона Богоматери Знамения, на ней Дева Мария изображена в молитвенной позе с поднятыми вверх руками (см. ",0.6123381958328507,В центре находится икона Богоматери Знамения (см. ,C_to_B
"Данелия 1963 г., «Живет такой парень» В.М. ",0.5768404026539422,"Хуциева 1964 г., «Живёт такой парень» В.М. ",C_to_B
Белое море богато рыбой. ,1.0000000000000002,Белое море богато рыбой. ,C_to_B
Драмы и комедии Островского обязательно присутствуют в репертуаре театра и в наше время. ,1.0000000000000004,Драмы и комедии Островского обязательно присутствуют в репертуаре театра и в наше время. ,C_to_B
"Это преимущественно семейный праздник, хотя многие молодые люди предпочитают встречать его в кругу друзей. ",1.0000000000000004,"Это преимущественно семейный праздник, хотя многие молодые люди предпочитают встречать его в кругу друзей. ",C_to_B
Тогда же его стала сопровождать Снегурочка. ,1.0,Тогда же его стала сопровождать Снегурочка. ,C_to_B
"Поморы жили в основном традиционными промыслами – это ловля рыбы и добыча морского зверя, а также солеварение (см. соль), резьба по кости, добыча жемчуга. ",0.974877286949028,"Поморы жили в основном традиционными промыслами – это ловля рыбы и добыча морского зверя, а также солеварение (см. соль), резьба по кости, добыча жемчуга. ",C_to_B
"Официальное признание в СССР пришло к Высоцкому после смерти: в 1981 г. вышел первый поэтический сборник «Нерв», потом двухтомник, в 1987 г. во время перестройки ему была присуждена Государственная премия СССР «за создание образа Жеглова в телевизионном художественном фильме «Место встречи изменить нельзя» и авторское исполнение песен», в том же году был разрешён спектакль Театра на Таганке «Владимир Высоцкий», посвящëнный памяти актёра и поставленный главным режиссёром Ю.П. ",0.8843054971250641,"Официальное признание в СССР пришло к Высоцкому после смерти: в 1981 г. вышел первый поэтический сборник «Нерв», потом двухтомник, в 1987 г. во время перестройки ему была присуждена Государственная премия СССР «за создание образа Жеглова в телевизионном художественном фильме «Место встречи изменить нельзя» и авторское исполнение песен», в том же году был разрешён спектакль Театра на Таганке «Владимир Высоцкий», посвящëнный памяти актёра; в 1989 г. создан Государственный культурный центр-музей Высоцкого; в 1990-х гг. вышло пятитомное собрание сочинений и полное собрание записей песен.",C_to_B
Действие комедии происходит в Москве в 20-е гг. ,1.0000000000000004,Действие комедии происходит в Москве в 20-е гг. ,C_to_B
"Белов, В.Ф. ",0.833455172888787,"Белов, В.Ф. ",C_to_B
Русское поле…,0.9999999999999999,Русское поле…,C_to_B
За этот подвиг городу было присвоено почётное звание города-героя.,0.9999999999999994,За этот подвиг городу было присвоено почётное звание города-героя.,C_to_B
"Начало ХХI в. в Большом театре связано с обновлением репертуара, приглашением для постановок знаменитых театральных режиссёров и балетмейстеров разных стран, а также с работой ведущих солистов труппы на сценах зарубежных театров.",0.9239656728230774,"Начало ХХI в. в Большом театре связано с новым репертуаром, приглашением знаменитых театральных режиссёров и балетмейстеров разных стран, а также с работой ведущих солистов труппы на сценах зарубежных театров.",C_to_B
В послевоенное время на Пискарёвском кладбище сооружён мемориал жертвам блокады (авторы Е.А. ,1.0000000000000004,В послевоенное время на Пискарёвском кладбище сооружён мемориал жертвам блокады (авторы Е.А. ,C_to_B
