source,cos_sim,target,level
"Пожалел Иван-царевич селезня — не тронул его, пошел дальше голодный.",0.328402354690698,Пошёл Иван-царевич голодным дальше.,"A2, B1"
"В некотором царстве, в некотором государстве жил-был царь, и было у него три сына. Младшего звали Иван-царевич. Позвал однажды царь сыновей и говорит им: ",0.867470814466098,"В некотором царстве, в некотором государстве жил-был царь, и было у него три сына. Младшего звали Иван-царевич.","A2, B1"
"И покатился по дороге — только Волк его и видел!
Катится Колобок, навстречу ему Медведь:
— Колобок, Колобок, я тебя съем!
— Где тебе, косолапому, съесть меня!",0.360902501304439,"Катится Колобок, навстречу ему Медведь: — Колобок, Колобок, я тебя съем! — Не ешь меня, Медведь! Я тебе песенку спою: Я Колобок, Колобок, Я от дедушки ушёл, Я от бабушки ушёл, От Зайца ушёл,  От Волка ушёл,  От тебя, Медведь, тоже уйду!",A1
"— Бери квакушку, ничего не поделаешь!",0.233625795458448,— Бери лягушку в жёны – это твоя судьба.,"A2, B1"
И тут же дал сыновьям новый приказ:,0.699948168924638,И тут же дал сыновьям новое задание:,"A2, B1"
"Как встали гости из-за стола, заиграла музыка, начались пляски. Пошла Василиса Премудрая плясать с Иваном-царевичем. Махнула левым рукавом — стало озеро, махнула правым — поплыли по озеру белые лебеди. Царь и все гости диву дались. А как перестала она плясать, все исчезло: и озеро и лебеди. Пошли плясать жены старших царевичей. Как махнули своими левыми рукавами — всех гостей забрызгали; как махнули правыми — костями-огрызками осыпали, самому царю костью чуть глаз не выбили. Рассердился царь и приказал их выгнать вон из горницы. Когда пир был на исходе, Иван-царевич улучил минутку и побежал домой. Разыскал лягушечью кожу и спалил ее на огне. Приехала Василиса Премудрая домой, хватилась — нет лягушечьей кожи! Бросилась она искать ее. Искала, искала — не нашла и говорит Ивану-царевичу:",0.509236385661131,"Вдруг все услышали страшный шум и очень испугались, посмотрели в окна и увидели красивую золотую карету. Подъехала карета, и вышла из нее Василиса Премудрая. Прекрасная, как солнце! Сели все гости за стол, стали есть, пить и веселиться. Василиса Премудрая ест, а остатки себе в правый рукав кладет; пьёт, а остатки в левый рукав льёт. Жены старших царевичей смотрят на неё и за ней повторяют, а зачем — сами не знают. Заиграла музыка, стали танцевать. Пошла Василиса Премудрая танцевать с Иваном-царевичем. Махнула левым рукавом — появилось озеро, махнула правым — поплыли по озеру белые лебеди. Царь и все гости удивляются такой красоте. Пошли танцевать жены старших царевичей. Как махнули своими руками — всех гостей и царя испачкали. А Иван-царевич, пока все веселились, побежал домой, нашёл лягушачью кожу и бросил в огонь. Приехала Василиса Премудрая домой и увидела, что нет её лягушачьей кожи. Крикнула:","A2, B1"
"Не успел подумать, а заяц тут как тут: догнал другого зайца, ухватил и разорвал пополам. Вылетела из того зайца утка и поднялась высоко-высоко в небо.",0.441258062403629,"Выпрыгнул из ларца заяц и побежал, но его догнал заяц, который обещал помочь Ивану-царевичу. Вылетела из зайца утка и полетела высоко-высоко в небо, но догнал её селезень.","A2, B1"
"Идет он чистым полем, глядь — а над ним летит большой селезень.",0.316083692788009,"Идёт Иван-царевич дальше, видит - летит большой селезень.","A2, B1"
"Пустил стрелу старший брат. Упала стрела на боярский двор, и подняла ее боярская дочь. Пустил стрелу средний брат — полетела стрела к богатому купцу во двор. Подняла ее купеческая дочь. Пустил стрелу Иван-царевич — полетела его стрела прямо в топкое болото, и подняла ее лягушка-квакушка…",0.473533486012028,Стрела среднего брата прилетела на богатый купеческий двор. Подняла ее купеческая дочь. Стрела Ивана-царевича упала в болото рядом с лягушкой.,"A2, B1"
Старик и спрашивает:,0.412374781824569,Удивился старик и пошёл домой. Рассказал он всё старухе и спрашивает:,B1
