source,cos_sim,target,level
"Есть у нас коровушка — молоко даёт, есть шесть овечек — шерсть дают. ",0.5732553260183876,"Есть шесть овец, которые шерсть дают. ",B1
Поблагодарил ее царевич и пошел.,0.6780105727899883,Поблагодарил её царевич и пошёл дальше.,"A2, B1"
"— Ну, хочешь, попросим большое-пребольшое стадо коров и овец?",0.2051512993508886,— Зачем нам много коров и овец? ,B1
Ложись-ка лучше спать-почивать: утро вечера мудренее!,0.713670110460707,Ложись спать: утро вечера мудренее!,"A2, B1"
Пошел старик к синему морю; (Не спокойно синее море.) ,0.2557214860786761,И опять пошёл старик к синему морю. ,"A2, B1"
"Катится Колобок, навстречу ему Лиса:",0.781546073865566,"Катится Колобок, навстречу ему Лиса: — Колобок, Колобок, куда катишься? ",A1
— «Мне на печи лучше всего! ,0.17909942242868132,И они стали жить ещё лучше.,"B1, B2"
Пошел старик к синему морю; (Не спокойно синее море.) ,0.21795458787438926,Четвёртый раз пошёл старик к синему морю. ,"A2, B1"
Надо сбегать за огнем к Бабе-яге! ,0.23593527136816322,"Пришла Василиса к Бабе-Яге, рассказала, что сёстры послали её за огнём. ","A2, B1"
А Иван-царевич говорит:,0.377221368933274,Пошёл Иван-царевич голодным дальше.,"A2, B1"
"Воротился старик ко старухе, Рассказал ей великое чудо. ",0.15392820162085316,"Рассказал ей, чего хочет старуха. ","A2, B1"
"Иван-царевич сел на серого волка, и поехали они в путь. ",0.3299913047516137,Сел Иван-царевич на Серого Волка и поехал за жар-птицей. ,"B1, B2"
"— Что же ты, брат, без жены пришел? ",0.6362405396195028,— Что же ты без жены пришёл?,"A2, B1"
"Катится Колобок, навстречу ему Медведь:",0.23899847287434184,"— Не ешь меня, Медведь! ",A1
За весной лето пришло. ,0.9999999999999997,За весной лето пришло. ,"A1, A2"
"Растет дочка и умная, и смышленая, и веселая. ",0.5251395281241414,"Растёт дочка умная, весёлая, добрая. ","A1, A2"
"— Бери квакушку, ничего не поделаешь!",0.22785483104163057,— Бери лягушку в жёны – это твоя судьба.,"A2, B1"
"Не нарадуются старики на дочку, души в ней не чают. ",0.21315423065343578,Радуются дед с бабой. ,"A1, A2"
"— Не тужи, Иван-царевич! ",0.5387721001001298,"— Не грусти, Иван-царевич! ","A2, B1"
Высокий терем. ,0.38913153350731294,Вернулся старик к старухе и видит высокий терем. ,"A2, B1"
Пошел старик к синему морю; (Не спокойно синее море.) ,0.5190306461517412,Неспокойно синее море. ,"A2, B1"
Старик и спрашивает:,0.4229555536236886,Рассказал он всё старухе и спрашивает:,B1
"Как встали гости из-за стола, заиграла музыка, начались пляски. ",0.44536414572160926,"Заиграла музыка, стали танцевать. ","A2, B1"
"— Не убивай меня, Иван-царевич! ",1.0000000000000002,"— Не убивай меня, Иван-царевич! ","A2, B1"
Василиса Прекрасная,0.5287982052770099,Жила-была красивая девушка Василиса Прекрасная. ,"A2, B1"
Он снял с себя кафтан и положил на пень. ,0.33406553780488335,"Снял он свой кафтан, положил на пень и продолжил рубить дрова. ",B1
Говорит Иван-царевич:,1.0000000000000002,Говорит Иван-царевич:,"A2, B1"
Пошли плясать жены старших царевичей. ,0.31791191913431344,Царю ковры старших царевичей не понравились. ,"A2, B1"
"Удивился старик, обрадовался. ",0.45186287465011016,Удивился старик и пошёл домой. ,B1
"Царь Выслав весьма осердился на Димитрия и Василия-царевичей и посадил их в темницу; а Иван-царевич женился на прекрасной королевне Елене и начал с нею жить дружно, полюбовно, так что один без другого ниже единой минуты пробыть не могли.",0.17887276106002822,Рассердился царь-отец и отправил старших братьев в темницу. ,"B1, B2"
Мороз градусов тридцать пять. ,0.7193948884658112,Мороз был очень сильный — градусов тридцать пять. ,B1
"Пуще прежнего старуха вздурилась, Не дает старику мне покою: Уж не хочет быть она крестьянкой, Хочет быть столбовою дворянкой». ",0.4286098807072694,"Не хочет она быть бедной крестьянкой, а хочет быть богатой дворянкой. ","A2, B1"
"— Колобок, Колобок, спой мне песенку!",0.7627192150226156,"— Никуда. — Колобок, Колобок, спой мне песенку! ",A1
"Мачехины дочери прислали меня за огнем к тебе. — Хорошо, — сказала Баба-яга, — знаю я их, поживи ты наперед да поработай у меня, тогда и дам тебе огня; а коли нет, так я тебя съем! ",0.13099725547299065,"Однажды злая мачеха и её дочери послали Василису к Бабе-Яге в лес за огнём, они хотели, чтобы Баба-Яга съела девушку. ","A2, B1"
"Караульные конюхи тотчас проснулись, прибежали, Ивана-царевича поймали и повели к царю Афрону.",0.3320433993568289,И там ждала Ивана-царевича неудача: схватили его и привели к царю Афрону. ,"B1, B2"
"Увидя на траве коня златогривого и жар-птицу в золотой клетке, весьма на них прельстилися и вздумали брата своего Ивана-царевича убить до смерти.",0.08599548057201944,Легли на траву спать. ,"B1, B2"
Кто из вас может поймать в моем саду жар-птицу? ,0.181581530676747,Дал царь задание своим сыновьям поймать птицу. ,"B1, B2"
Встал старик с лавки и говорит:,0.26218260539293536,— говорит старик,B1
Выскочил из ларца заяц и пустился наутек.,0.31426041618533407,"Выпрыгнул из ларца заяц и побежал, но его догнал заяц, который обещал помочь Ивану-царевичу. ","A2, B1"
"И когда нагулялась по дворцу, приходит к Емеле и удивляется: Емеля стоит перед зеркалом и ругается: «Я очень некрасивый и нехороший! ",0.19721189181744014,"Посмотрел однажды Емеля в зеркало и удивился, за что любит его, такого некрасивого и ленивого, красавица-царевна? ","B1, B2"
"Царский слуга уехал, а Емеля спит себе преспокойно на печи. ",0.2602812868861951,Сказал он волшебные слова и поехал в царский дворец на печи. ,"B1, B2"
"Только замахнулся он топором, а из чащи Лесной Дед выходит. ",0.32031734123309796,Вдруг выходит Лесной Дед и говорит:,B1
"Я Колобок, Колобок,",0.34070970264746453,И покатился Колобок дальше.,A1
Вылетела из того зайца утка и поднялась высоко-высоко в небо.,0.6991557790083671,"Вылетела из зайца утка и полетела высоко-высоко в небо, но догнал её селезень.","A2, B1"
Поднялось облачко высоко и пропало в небе. ,0.41985167406768287,Полетело облако высоко в небо.  ,"A1, A2"
"Глядят на нее, не налюбуются. ",0.44978736406919523,Смотрят на неё – любуются. ,"A1, A2"
"— Ну, Иван-царевич, слезай с меня, с серого волка, и полезай через эту каменную стену; тут за стеною сад, а в том саду жар-птица сидит в золотой клетке. ",0.38716849888233107,"Перелез Иван-Царевич через стену, а там сад, а в саду жар-птица. ","B1, B2"
"— Я, старуха, придумал, чего у Лесного Деда просить надо!",0.48914478709264525,"— А я придумал, что у Лесного Деда попросить!",B1
Где стрела упадет — там и сватайтесь.,0.26628886291445997,"Куда упадёт стрела, там и невесту найдёте"".","A2, B1"
"Когда Емеля увидал такую красавицу, то очень она ему понравилась, и он сказал про себя тихим голосом: «По щучьему велению, по моему прошению, влюбись, красавица, в меня». ",0.3232950567687725,"Сказал Емеля волшебные слова: «По щучьему велению, по моему хотению...», — и стал он высоким и красивым. ","B1, B2"
"Иван-царевич сел на серого волка, и поехали они в государство царя Долмата. ",0.500655488813138,"Сел Иван-царевич на волка, и поехали они в государство царя Афрона, где жил конь златогривый. ","B1, B2"
"Что нужно, говори!» ",0.09801737767165247,Жили они дружно и счастливо. ,"B1, B2"
"Ну, теперь твоя душенька довольна». ",0.1287670183077701,Теперь она царица. ,"A2, B1"
"На крыльце стоит его старуха В дорогой собольей душегрейке, Парчовая на маковке кичка, Жемчуги огрузили шею, На руках золотые перстни, На ногах красные сапожки. ",0.23258876875977846,"Стоит на крыльце его старуха в дорогой одежде, а рядом с ней её слуги. ","A2, B1"
Поставил ведра и схватил щуку; но щука вдруг заговорила человеческим голосом. ,0.3413237117357136,"Заговорила с ним щука человеческим голосом, попросила отпустить её обратно в воду. ","B1, B2"
"Барин достает пять рублей, мужик берет их и подает барину кафтан, а у барина берет шубу. ",0.2140766995951837,"— Пять рублей, — отвечает мужик. ",B1
"Василиса Премудрая из кубка пьет — не допивает, остатки себе за левый рукав выливает. ",0.45307911148227337,"Василиса Премудрая ест, а остатки себе в правый рукав кладет; пьёт, а остатки в левый рукав льёт. ","A2, B1"
На другую ночь пошел в сад караулить жар-птицу Василий-царевич. ,0.2888084483405378,В третью ночь пошёл за жар-птицей младший сын Иван-царевич. ,"B1, B2"
"Вышли братья на широкий отцовский двор, натянули свои тугие луки и выстрелили.",0.6555859439498924,"Вышли братья на широкий двор, выстрелили. ","A2, B1"
"Надел старик шапку, вышли они на огород и принялись дочку из снега лепить. ",0.646299092403012,"Надел дед шапку, вышли они на улицу и начали дочку из снега лепить. ","A1, A2"
"Как махнули своими левыми рукавами — всех гостей забрызгали; как махнули правыми — костями-огрызками осыпали, самому царю костью чуть глаз не выбили. ",0.479679732438404,Как махнули своими руками — всех гостей и царя испачкали. ,"A2, B1"
"— Ква-ква, Иван-царевич! ",0.548023402149749,"— Ква-ква, не убегай, Иван-царевич, а возьми меня замуж.","A2, B1"
"Думали, думали старик со старухой — ничего придумать не могут: всё, что нужно, у них есть, а чего нет, то они своими трудами всегда заработать могут. ",0.509855281306287,"А чего нет, то они своим трудом всегда заработать могут.",B1
"Приплыла к нему рыбка, спросила: «Чего тебе надобно, старче?» ",0.5040139224308452,"Приплыла к нему рыбка, спросила, чего он хочет. ","A2, B1"
При мне ничего не станется с тобой у Бабы-яги. ,0.11659661385193545,Все они были слуги Бабы -Яги.,"A2, B1"
"Подзывает барин мужика, говорит: «Мужик, что такое — мне в тулупе холодно, а ты в одной рубахе — и пот градом?». ",0.36175432408155683,"— Мужик, почему мне в шубе холодно, а ты в одной рубашке, и с тебя пот градом?  ",B1
А Иван-царевич говорит:,0.3147540812393005,А лягушка говорит:,"A2, B1"
"Нет, старик, не надо нам денег!",0.20336596254483968,Не нужны нам деньги,B1
"Вышел он к синему морю и видит: на берегу, на желтом песке, лежит щука-рыба. ",0.5953206245997242,Подошёл он к синему морю и видит: на берегу лежит щука. ,"A2, B1"
"— А вы возьмите по стреле, натяните свои тугие луки и пустите стрелы в разные стороны. ",0.45718449123296045,Полетели их стрелы в разные стороны.,"A2, B1"
"Как увидел царь Василису Прекрасную, так и влюбился в нее без памяти",0.2883839659867455,"Привела старушка Василису Прекрасную во дворец, царь влюбился в неё и взял в жёны. ","A2, B1"
Василиса Прекрасная,0.19736893593957985,"Поняла Василиса, что это – Солнце красное. ","A2, B1"
"Упала стрела на боярский двор, и подняла ее боярская дочь. ",0.8042290158153349,"Стрела старшего брата прилетела на боярский двор, и подняла ее боярская дочь.","A2, B1"
А Снегурочка вдруг запечалилась,0.4389623807244557,А Снегурочка стала грустной. ,"A1, A2"
"Прыгнула над огнем и вдруг растаяла, обратилась в белое облачко. ",0.36677102469292144,"Прыгнула и Снегурочка, но вдруг стала белым облаком. ","A1, A2"
Стал он кликать золотую рыбку. ,0.5029434821481021,Позвал он золотую рыбку. ,"A2, B1"
"Выбрал Иван-царевич лучшего скакуна из Кощеевой конюшни, сел на него с Василисой Премудрой и воротился в свое царство-государство.",0.38975507003650944,Сели Иван-царевич и Василиса Премудрая на коня и вернулись в своё царство-государство.,"A2, B1"
"Иван-царевич сел на серого волка, и поехали они в государство царя Долмата. ",0.2724508589103463,"Приехали они в царство-государство, где жила эта прекрасная птица. ","B1, B2"
Мочи моей больше нет — так есть хочется!,0.5494891357476794,Так есть хочется!,"A2, B1"
Барин надел кафтан и поехал. ,0.20012581116330194,"Едет барин, мороз всё сильнее, а кафтан не греет. ",B1
— Вот этот хлеб только в большие праздники есть!,0.8433382731217589,— Этот хлеб только в большие праздники есть!,"A2, B1"
Василиса Прекрасная,0.3118107754022017,"Плохо девушке было жить в доме одной, поэтому Василиса Прекрасная ушла жить к незнакомой старушке. ","A2, B1"
Подняла ее купеческая дочь. ,1.0,Подняла ее купеческая дочь. ,"A2, B1"
Спрашивает его квакушка:,0.29453956474525417,Баба-Яга спрашивает:,"A2, B1"
Стал он кликать золотую рыбку. ,0.4617163098257718,Позвал он золотую рыбку. ,"A2, B1"
Воротился старик ко старухе. ,0.5163317566170913,Вернулся старик к старухе. ,"A2, B1"
Чем же мы их кормить станем? ,0.3237140477239301,— отвечает старуха. — Чем мы тысячу курочек  кормить будем? ,B1
Серый волк вымолвил эти слова и побежал в сторону; а Иван-царевич заплакал горько по сером волке и поехал в путь свой с прекрасною королевною.,0.257793751632735,На следующий день Серый волк опять превратился в волка и побежал за Иваном и Еленой Прекрасной.,"B1, B2"
"Емеля хоть был дурак, но знал, что рыба не говорит человеческим голосом, и очень испугался. ",0.15648315994470807,"Емеля был таким ленивым, что идти пешком не захотел. ","B1, B2"
"Снарядился, взял лук да стрелы, надел железные сапоги, положил в заплечный мешок три железных хлеба и пошел искать жену свою, Василису Премудрую.",0.322906785551876,Заплакал Иван-царевич и пошёл искать свою жену Василису Премудрую.,"A2, B1"
"— Да, Иван-царевич, спать бы тебе вечно, кабы не я; ведь тебя братья твои изрубили и прекрасную королевну Елену, и коня златогривого, и жар-птицу увезли с собою. ",0.2774804150240471,"Убили братья Ивана, забрали жар-птицу, коня, королевну и уехали. ","B1, B2"
"— А что, старуха, — говорит старик, — давай мы себе из снега дочку сделаем",0.40763505532018623,И решили они из снега себе дочку сделать. ,"A1, A2"
На другой день после свадьбы призвал царь своих сыновей и говорит:,0.21944654890961945,Решил царь пригласить всех сыновей с жёнами к себе на праздник.,"A2, B1"
Не надо!,0.460248289813144,Нам больше не надо!,B1
"Потом серый волк спрыснул Ивана-царевича мертвою водою — его тело срослося, спрыснул живою водою — Иван-царевич встал и промолвил:",0.27384058074729756,"Полил Серый Волк Ивана-царевича живой водой, ожил Иван-царевич. ","B1, B2"
"— Не убивай меня, Иван-царевич! ",1.0000000000000002,"— Не убивай меня, Иван-царевич! ","A2, B1"
"Тогда Иван-царевич обещался царю Афрону королевну Елену Прекрасную достать, а сам пошел из палат его и горько заплакал.",0.22150600925181124,"Ехали они, ехали, смотрел Иван-царевич на Елену Прекрасную, смотрел да и влюбился. ","B1, B2"
"— Ква-ква, Иван-царевич, — говорит лягушка-квакушка, — почему так печалишься? ",0.6792927461221959,"— Ква-ква, Иван-царевич, — говорит лягушка, — почему ты такой грустный? ","A2, B1"
"Елена Прекрасная рассказала ему всю истинную правду, что и как было: как Иван-царевич добыл ее, коня златогривого и жар-птицу, как старшие братья убили его сонного до смерти и как страшали ее, чтоб говорила, будто все это они достали.",0.2199989297358681,"Рассказала она царю-отцу, что братья убили Ивана и её обещали убить, если она об этом расскажет. ","B1, B2"
"Есть у нас три курочки-хохлатки, есть Петя-петушок — нам и довольно.",0.41769480582856583,"Есть у нас три курочки, есть петух. ",B1
"Когда Емеля увидал такую красавицу, то очень она ему понравилась, и он сказал про себя тихим голосом: «По щучьему велению, по моему прошению, влюбись, красавица, в меня». ",0.2132622097140835,"Во дворце увидел он царскую дочь-красавицу и захотел, чтобы она в него влюбилась. ","B1, B2"
— спросил царь,0.2116249869166876,"Попросил царь показать ему мастерицу, которая эти рубашки сшила. ","A2, B1"
Что ж он видит? ,0.08577717309589108,"Вернулся старик домой и видит новую, большую и красивую избу.  ","A2, B1"
"Старик ивовые прутья режет, корзинки плетёт, старуха шерсть прядёт, рукавицы вяжет.",0.4015854768390081,"Старик корзины плетёт, а старуха пряжу прядёт. ",B1
Жил старик со своею старухой У самого синего моря; Они жили в ветхой землянке Ровно тридцать лет и три года. ,0.3296037676968419,Они жили в старом маленьком доме тридцать лет и три года. ,"A2, B1"
"— «Нет, мы разыскиваем своего родного брата. ",0.1417618174609978,Было в семье три брата. ,"B1, B2"
"Скатали они снежной ком, ручки, ножки приладили, сверху снежную голову приставили. ",0.6069929789417166,"Сделали они из снега руки, ноги, сверху снежную голову поставили. ","A1, A2"
"Вот и последний снег растаял, зацвели цветы на лугах, птицы прилетели. ",0.19241930681645214,"Не радуют её цветы и птицы, только и ждёт она дождя и прохлады. ","A1, A2"
пред ним царские палаты. ,0.2319562736204233,Перед ним дворец. ,"A2, B1"
"Я Колобок, Колобок,",0.34070970264746453,И покатился Колобок дальше.,A1
"Только тогда они успокоились, бросились в ноги Емельяну Ивановичу и стали просить прощения за плохое свое с ним раньше обращение.",0.22119749137689865,"А когда понял царь, кто стоит перед ним, долго просил прощения за своё злое дело. ","B1, B2"
"Я сердцем возлюбил прекрасную королевну Елену, а теперь должен отдать ее царю Афрону за коня златогривого, а ежели ее не отдам, то царь Афрон обесчестит меня во всех государствах",0.4374876223759592,"Обещал царь Афрон отдать коня златогривого Ивану-царевичу, если привезёт он из соседнего государства королевну Елену Прекрасную. ","B1, B2"
Сходи за водой на реку!» ,0.36691737438913796,Однажды зимой взял Емеля вёдра и пошёл на реку за водой. ,"B1, B2"
"Барин говорит: «Давай, мужик, меняться на тулуп». ",0.2533055025896952,"Барин говорит:   — Давай, мужик, поменяем мою шубу на твой кафтан.  ",B1
"— Продай, бабушка, это полотно, а деньги возьми себе. ",0.1649258096324058,"Поняла девушка, что это – белый день. ","A2, B1"
А на самой его вершине — кованый ларец.,0.23805386577871246,"Дуб был очень большой и высокий, а на самом верху висел ларец.","A2, B1"
"Сжалился Иван-царевич над щукой, бросил ее в море, а сам пошел берегом за своим клубочком.",0.23088981025450736,"Бросил он её в море, а сам дальше пошёл. ","A2, B1"
"Пришел к серому волку и рассказал все, что с ним случилося",0.2690444036774924,"Рассказал ему волк о том, что случилось, и посоветовал скорее в своё царство-государство ехать. ","B1, B2"
"— Не тужи, Иван-царевич! ",0.5387721001001298,"— Не грусти, Иван-царевич! ","A2, B1"
"Я Колобок, Колобок,",0.24061229973444276,Испекла колобок. ,A1
"Иван-царевич сел на серого волка, и поехали они в путь. ",0.2948971209679397,Сели братья на коней и отправились в путь. ,"B1, B2"
"Стали братья над ним смеяться, а отец говорит:",0.4713774960054241,Стали они смеяться над Иваном:,"A2, B1"
Василисе помогала ее куколка. ,0.17204878836017895,"Василиса выполнила всё сделала с помощью маминой волшебной куколки, поэтому Баба-Яга отпустила её домой и дала огонь. ","A2, B1"
"Иван-царевич вошел в палаты, и как скоро Елена Прекрасная увидала его, тотчас выскочила из-за стола, начала целовать его в уста сахарные и закричала:",0.3097082079282662,"Когда вошёл Иван-царевич во дворец, увидела его королевна Елена Прекрасная, подбежала к нему, стала обнимать да целовать. ","B1, B2"
На другую ночь пошел в сад караулить жар-птицу Василий-царевич. ,0.19167371126567942,Во вторую ночь пошёл в сад средний сын и тоже проспал до утра. ,"B1, B2"
Пришел он домой невеселый. ,0.6189657290212931,Пришел Иван-царевич домой невесёлый. ,"A2, B1"
Она эту ночь не прилетала.,0.162569915720373,Он не спал всю ночь. ,"B1, B2"
"Твоя жар-птица повадилась к нам летать в сад по всякую ночь, и срывала с любимой отца моего яблони золотые яблочки, и почти все дерево испортила; для того послал меня мой родитель, чтобы сыскать жар-птицу и к нему привезть",0.33050895105429495,Начала в сад этот летать жар-птица и уносить золотые яблоки. ,"B1, B2"
"Махнула левым рукавом — стало озеро, махнула правым — поплыли по озеру белые лебеди. ",0.08801154848211878,Крикнула:,"A2, B1"
"Идет он чистым полем, глядь — а над ним летит большой селезень.",0.33996663321119036,"Идёт Иван-царевич дальше, видит - летит большой селезень.","A2, B1"
"Тогда он сказал: «По щучьему веленью, а по моему прошенью, я должен сделаться самым красивым молодцем!»",0.32204555694413733,"Как только он чего захочет, он должен сказать волшебные слова: «По щучьему велению, по моему хотению...», — и все желания исполнятся. ","B1, B2"
Девушки работали. ,0.0987252606969016,Колдунья дала девушке трудные задания. ,"A2, B1"
"Сказала, обернулась белой лебедью и улетела в окно.",0.476667615369932,"Сказала, превратилась в лебедя и вылетела в окно.","A2, B1"
Иван-царевич начал просить серого волка:,0.293921727968554,Попросил Иван-царевич Серого Волка опять помочь ему. ,"B1, B2"
Хочешь — много-много денег попросим? ,0.7011341376289394,Хочешь — много денег попросим?,B1
"— молвил серый волк. — Я твоего детища не трону и отпущу здрава и невредима, когда ты мне сослужишь службу: слетаешь за тридевять земель, в тридесятое государство, и принесешь мне мертвой и живой воды.",0.17723986003063838,Полетел ворон и принёс живой воды. ,"B1, B2"
"Приплыла к нему рыбка, спросила: «Чего тебе надобно, старче?» ",0.4982130153585383,"Приплыла к нему рыбка, спросила, чего он хочет. ","A2, B1"
"Глядь — а у Снегурочки губы порозовели, глазки открылись; смотрит она на стариков и улыбается. ",0.39354989579447824,Стоит Снегурочка и улыбается. ,"A1, A2"
Жил старик со своею старухой У самого синего моря; Они жили в ветхой землянке Ровно тридцать лет и три года. ,0.19436880814673566,Жили-были старик со старухой около синего моря. ,"A2, B1"
"Он принял ложную королевну, а коня златогривого вручил Ивану-царевичу.",0.24360101773090143,"В этот раз волк решил сам похитить королевну, а Ивану-царевичу сказал ждать его. ","B1, B2"
"Серый же волк сел близ той золотой решетки и дожидался, покуда пойдет прогуляться в сад королевна Елена Прекрасная.",0.24730941878167553,"Только вышла в сад гулять Елена Прекрасная, схватил её волк и тут же побежал обратно к Ивану-царевичу. ","B1, B2"
"Колобок прыг Лисе на язык, а Лиса его — гам! ",0.3091638909975324,"Колобок сел Лисе на нос, начал петь, а она его — ам! ",A1
Опечалился Иван-царевич и отвечает:,0.15935330739669018,Шёл-шёл Иван-царевич и пришёл в тёмный лес. ,"A2, B1"
"Тогда мы всё, что нам нужно, сами себе заработаем",0.180565076527744,Так они зарабатывали себе на жизнь.  ,B1
"Он шел целый день и устал несказанно и только что хотел присесть отдохнуть, вдруг нагнал его серый волк и сказал ему:",0.23911468467784916,Ехали они долго и решили отдохнуть. ,"B1, B2"
"И хорошо живут, счастливо!",0.5774651278932652,Хорошо и счастливо живут! ,B1
"Смотрит Иван-царевич на дуб и не знает, что ему делать, как ларец достать.",0.7427329471296444,"Смотрит Иван-царевич на дуб  и не знает, что ему делать.","A2, B1"
Ложись-ка лучше спать-почивать: утро вечера мудренее!,0.7801213349973094,Ложись лучше спать: утро вечера мудренее!,"A2, B1"
"Я Колобок, Колобок,",0.34070970264746453,И покатился Колобок дальше.,A1
"Когда Емеля увидал такую красавицу, то очень она ему понравилась, и он сказал про себя тихим голосом: «По щучьему велению, по моему прошению, влюбись, красавица, в меня». ",0.31454452209994094,"Сказал: «По щучьему велению, по моему хотению...», — и вот уже царевна влюбилась в глупого, грязного и ленивого Емелю. ","B1, B2"
Пошли плясать жены старших царевичей. ,0.27654817539902926,Жёны старших царевичей позвали много помощниц для этой работы.,"A2, B1"
"— Идем с нами, Снегурочка, в лес гулять, песни петь, плясать.",0.44604710955729177,"Собрались девушки в лес, позвали Снегурочку гулять, песни петь и танцевать. ","A1, A2"
Рубит мужик дрова. ,0.831655677726535,Рубил мужик дрова. ,B1
"Воротись, поклонися рыбке: Не хочу быть черной крестьянкой, Хочу быть столбовою дворянкой».",0.13671395778945533,Обещала рыбка исполнить желание старухи – сделать её богатой дворянкой. ,"A2, B1"
"В то самое время братья Ивана-царевича, Димитрий и Василий-царевичи, ездя по разным государствам и не найдя жар-птицы, возвращались в свое отечество с порожними руками; нечаянно наехали они на своего сонного брата Ивана-царевича с прекрасною королевною Еленою.",0.48980826137671557,"В то самое время братья Ивана-царевича, Димитрий и Василий, тоже возвращались домой. ","B1, B2"
"— Зачем ко мне пожаловал, добрый молодец? ",0.3356060628495916,— Зачем пришёл?,"A2, B1"
"Будят Емелю: «Емеля, а Емеля!» ",0.14514302456464367,"Перед царём стоял не грязный, глупый, ленивый Емеля, а красивый молодец Емельян. ","B1, B2"
Пришли девушки со Снегурочкой в лес. ,0.6893415243107204,Пришли девушки в лес. ,"A1, A2"
"Тогда царский слуга приказал Емелю положить в экипаж свой и так, сонного, привез во дворец. ",0.22270970175844446,"Когда об этих чудесах узнал царь, он позвал Емелю во дворец. ","B1, B2"
Воротился старик ко старухе. ,0.31041115086151666,Вернулся старик к старухе. ,"A2, B1"
"Тогда Емеля и прекрасная царевна выходят из своего дворца, и царевна узнаёт корабль своего отца. ",0.25667782254030524,"Остановился корабль около острова, и царь пошёл во дворец, где жили Емеля с царевной. ","B1, B2"
"— Да что ты, старик, чего выдумал? ",0.42424515459808615,"— Что ты, старик, придумал? ",B1
"Вот неделя, другая проходит, Еще пуще старуха вздурилась: Опять к рыбке старика посылает. ",0.18385989596659805,Вот прошло две недели и опять старуха приказывает старику идти к золотой рыбке. ,"A2, B1"
"Приехал в лес и громким голосом крикнул: «По щучьему веленью, по моему прошенью, топор, руби дрова сам, а дрова, летите в сани сами!»",0.2203348692845863,"Емеля сразу захотел, чтобы вёдра с водой пошли домой сами, топор сам наколол дрова, а сани поехали домой сами.","B1, B2"
"Стала она его будить: «Емеля, а Емеля! ",0.1835364675929857,Попросила она отца-царя выдать её за Емелю замуж.,"B1, B2"
— «Сколько?» ,0.4519384074671368,— Сколько? ,B1
"А к чему, зачем — того и сами не знают.",0.39499155120116436,"Жены старших царевичей смотрят на неё и за ней повторяют, а зачем — сами не знают. ","A2, B1"
Барин надел кафтан и поехал. ,0.15739506266422254,Промёрз до костей барин и заболел. ,B1
